Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
29,Marc Bulger\BulgMa00,STL,32,QB,9,8,1-7-0,140,247,56.7,1469,5,2,6,2.4,77,50,5.9,5.3,10.5,163.2,70.7,30.7,14,85,5.4,5.30,4.65,0,1
30,Ryan Fitzpatrick\FitzRy00,BUF,27,QB,10,8,4-4-0,127,227,55.9,1422,9,4,10,4.4,65,98,6.3,5.1,11.2,142.2,69.7,35.2,21,127,8.5,5.22,4.13,1,2
31,Brady Quinn\QuinBr00,CLE,25,QB,10,9,2-7-0,136,256,53.1,1339,8,3.1,7,2.7,72,59,5.2,4.6,9.8,133.9,67.2,41.7,19,104,6.9,4.49,3.93,0,1
32,JaMarcus Russell\RussJa00,OAK,24,QB,12,9,2-7-0,120,246,48.8,1287,3,1.2,11,4.5,58,86,5.2,3.5,10.7,107.3,50.0,20.7,33,207,11.8,3.87,2.31,2,2
33,Kerry Collins\CollKe00,TEN,37,qb,7,6,0-6-0,119,216,55.1,1225,6,2.8,8,3.7,63,69,5.7,4.6,10.3,175.0,65.5,37.6,6,37,2.7,5.35,4.27,,
34,Trent Edwards\EdwaTr01,BUF,26,qb,8,7,2-5-0,110,183,60.1,1169,6,3.3,7,3.8,54,46,6.4,5.3,10.6,146.1,73.8,29.1,23,139,11.2,5.00,4.05,,
35,Matt Moore\MoorMa01,CAR,25,qb,7,5,4-1-0,85,138,61.6,1053,8,5.8,2,1.4,52,66,7.6,8.1,12.4,150.4,98.5,64.6,9,78,6.1,6.63,7.11,1,1
36,Bruce Gradkowski\GradBr00,OAK,26,,7,4,2-2-0,82,150,54.7,1007,6,4,3,2,44,75,6.7,6.6,12.3,143.9,80.6,58.3,11,71,6.8,5.81,5.72,2,2
37,Daunte Culpepper\CulpDa00,DET,32,qb,8,5,0-5-0,89,157,56.7,945,3,1.9,6,3.8,44,38,6.0,4.7,10.6,118.1,64.8,35.9,14,107,8.2,4.90,3.67,,
38,Shaun Hill\HillSh00,SFO,29,qb,6,6,3-3-0,87,155,56.1,943,5,3.2,2,1.3,33,61,6.1,6.1,10.8,157.2,79.6,35.9,18,107,10.4,4.83,4.89,1,1
39,Kyle Boller\BollKy00,STL,28,,7,4,0-4-0,98,176,55.7,899,3,1.7,6,3.4,42,35,5.1,3.9,9.2,128.4,61.2,23.2,17,117,8.8,4.05,2.96,,
40,Derek Anderson\AndeDe00,CLE,26,qb,8,7,3-4-0,81,182,44.5,888,3,1.6,10,5.5,44,43,4.9,2.7,11.0,111.0,42.1,22.4,11,75,5.7,4.21,2.19,0,1
41,Chris Redman\RedmCh00,ATL,32,,6,2,0-2-0,69,119,58,781,4,3.4,3,2.5,41,50,6.6,6.1,11.3,130.2,78.4,64.6,8,34,6.3,5.88,5.45,1,1
42,Kevin Kolb\KolbKe00,PHI,25,,5,2,1-1-0,62,96,64.6,741,4,4.2,3,3.1,31,71,7.7,7.1,12.0,148.2,88.9,62.2,3,27,3,7.21,6.66,,
43,Seneca Wallace\WallSe00,SEA,29,,13,2,0-2-0,78,120,65,700,3,2.5,2,1.7,36,39,5.8,5.6,9.0,53.8,81.9,44.7,9,59,7,4.97,4.74,,
44,Josh Johnson\JohnJo05,TAM,23,,6,4,0-4-0,63,125,50.4,685,4,3.2,8,6.4,31,35,5.5,3.2,10.9,114.2,50.9,37.6,11,59,8.1,4.60,2.54,,
45,Byron Leftwich\LeftBy00,TAM,29,,3,3,0-3-0,58,107,54.2,594,4,3.7,3,2.8,27,47,5.6,5.0,10.2,198.0,71.2,61.0,2,0,1.8,5.45,4.94,,
46,Charlie Frye\FryeCh00,OAK,28,,3,3,1-2-0,53,87,60.9,581,1,1.1,4,4.6,28,33,6.7,4.8,11.0,193.7,65.3,43.5,5,40,5.4,5.88,4.14,,
47,Keith Null\NullKe00,STL,24,,4,4,0-4-0,73,119,61.3,566,3,2.5,9,7.6,30,25,4.8,1.9,7.8,141.5,49.9,16.9,13,82,9.8,3.67,1.05,,
48,Matt Leinart\LeinMa00,ARI,26,,8,1,0-1-0,51,77,66.2,435,0,0,3,3.9,22,28,5.6,3.9,8.5,54.4,64.6,45.9,2,12,2.5,5.35,3.65,,
49,Chad Pennington\PennCh01,MIA,33,,3,3,0-3-0,51,74,68.9,413,1,1.4,2,2.7,27,21,5.6,4.6,8.1,137.7,76.0,40.5,6,32,7.5,4.76,3.89,,
50,Drew Stanton\StanDr00,DET,25,,3,1,0-1-0,26,51,51,259,0,0,6,11.8,12,30,5.1,-0.2,10.0,86.3,26.1,12.4,5,27,8.9,4.14,-0.68,,
51,Billy Volek\VoleBi00,SDG,33,,4,0,,20,31,64.5,231,1,3.2,1,3.2,13,50,7.5,6.6,11.6,57.8,84.2,77.9,1,1,3.1,7.19,6.41,1,1
52,Brodie Croyle\CroyBr00,KAN,26,,3,1,0-1-0,23,40,57.5,230,2,5,0,0,10,50,5.8,6.8,10.0,76.7,90.6,74.8,3,18,7,4.93,5.86,,
53,David Carr\CarrDa00,NYG,30,,6,0,,21,33,63.6,225,1,3,0,0,11,37,6.8,7.4,10.7,37.5,93.6,70.7,2,11,5.7,6.11,6.69,,
54,Tarvaris Jackson\JackTa00,MIN,26,,8,0,,14,21,66.7,201,1,4.8,0,0,9,34,9.6,10.5,14.4,25.1,113.4,68.8,0,0,0,9.57,10.52,,
55,Brian Brohm\BrohBr00,BUF,24,,2,1,0-1-0,17,29,58.6,146,0,0,2,6.9,8,15,5.0,1.9,8.6,73.0,43.2,11.8,2,8,6.5,4.45,1.55,,
56,Dennis Dixon\DixoDe00,PIT,24,,1,1,0-1-0,12,26,46.2,145,1,3.8,1,3.8,6,33,5.6,4.6,12.1,145.0,60.6,41.9,0,0,0,5.58,4.62,,
57,Todd Collins\CollTo00,WAS,38,,3,0,,12,23,52.2,144,0,0,0,0,4,46,6.3,6.3,12.0,48.0,71.6,6.8,2,11,8,5.32,5.32,,
58,Brian Hoyer\HoyeBr00,NWE,24,,5,0,,19,27,70.4,142,0,0,0,0,8,17,5.3,5.3,7.5,28.4,82.6,48.6,2,18,6.9,4.28,4.28,,
59,Kellen Clemens\ClemKe00,NYJ,26,,10,1,1-0-0,13,26,50,125,0,0,0,0,7,26,4.8,4.8,9.6,12.5,63.8,10.6,4,21,13.3,3.47,3.47,,
60,Mark Brunell\BrunMa00,NOR,39,,16,1,0-1-0,15,30,50,102,0,0,1,3.3,5,18,3.4,1.9,6.8,6.4,44.0,9.5,0,0,0,3.40,1.90,,
61,Michael Vick\VickMi00,PHI,29,,12,1,,6,13,46.2,86,1,7.7,0,0,3,43,6.6,8.2,14.3,7.2,93.7,52.9,0,0,0,6.62,8.15,,
62,Curtis Painter\PainCu00,IND,24,,2,0,,8,28,28.6,83,0,0,2,7.1,3,22,3.0,-0.3,10.4,41.5,9.8,0.6,3,16,9.7,2.16,-0.74,,
63,Tyler Thigpen\ThigTy00,2TM,25,,2,0,,4,8,50,83,1,12.5,2,25,0,34,10.4,1.6,20.8,41.5,87.0,,0,0,0,10.38,1.63,,
64,Matt Flynn\FlynMa00,GNB,24,,15,0,,7,12,58.3,58,0,0,1,8.3,5,17,4.8,1.1,8.3,3.9,36.1,30.7,1,6,7.7,4.00,0.54,,
65,Jon Ryan\RyanJo21,SEA,28,,16,0,,1,1,100,42,0,0,0,0,1,42,42.0,42.0,42.0,2.6,118.7,100.0,0,0,0,42.00,42.00,,
66,J.T. O'Sullivan\OSulJ.00,CIN,30,,3,0,,4,11,36.4,40,0,0,0,0,1,16,3.6,3.6,10.0,13.3,47.5,2.3,3,31,21.4,0.64,0.64,,
67,Josh Brown\brownjos01,STL,30,,16,0,,1,1,100,36,1,100,0,0,1,36,36.0,56.0,36.0,2.3,158.3,100.0,0,0,0,36.00,56.00,,
68,Hunter Smith\SmitHu21,WAS,32,,13,0,,1,2,50,35,1,50,1,50,1,35,17.5,5.0,35.0,2.7,95.8,100.0,0,0,0,17.50,5.00,,
69,Rex Grossman\GrosRe00,HOU,29,,1,0,,3,9,33.3,33,0,0,1,11.1,1,21,3.7,-1.3,11.0,33.0,5.6,10.1,0,0,0,3.67,-1.33,,
70,Fred Jackson\JackFr02,BUF,28,RB,16,11,,1,1,100,27,1,100,0,0,1,27,27.0,47.0,27.0,1.7,158.3,63.8,0,0,0,27.00,47.00,,
71,Brad Smith\SmitBr01,NYJ,26,,13,2,,1,1,100,27,0,0,0,0,1,27,27.0,27.0,27.0,2.1,118.7,100.0,0,0,0,27.00,27.00,,
72,Mark Bradley\BradMa00,KAN,27,wr,13,6,,1,1,100,26,0,0,0,0,1,26,26.0,26.0,26.0,2.0,118.7,100.0,0,0,0,26.00,26.00,,
73,Brian Moorman\MoorBr24,BUF,33,,16,0,,1,1,100,25,1,100,0,0,1,25,25.0,45.0,25.0,1.6,158.3,100.0,0,0,0,25.00,45.00,,
74,Troy Smith\SmitTr02,BAL,25,,4,0,,5,9,55.6,24,0,0,1,11.1,1,9,2.7,-2.3,4.8,6.0,21.3,40.0,0,0,0,2.67,-2.33,,
75,Chris Simms\SimmCh00,DEN,29,,3,1,0-1-0,5,17,29.4,23,0,0,1,5.9,1,7,1.4,-1.3,4.6,7.7,15.1,1.5,5,39,22.7,-0.73,-2.77,,
76,Joseph Addai\AddaJo00,IND,26,RB,15,15,,1,1,100,22,1,100,0,0,1,22,22.0,42.0,22.0,1.5,158.3,100.0,0,0,0,22.00,42.00,,
77,Ronnie Brown\BrowRo05,MIA,28,RB,9,9,,2,6,33.3,22,1,16.7,0,0,2,21,3.7,7.0,11.0,2.4,84.7,84.9,1,9,14.3,1.86,4.71,,
78,Legedu Naanee\NaanLe00,SDG,26,,15,1,,1,1,100,21,0,0,0,0,1,21,21.0,21.0,21.0,1.4,118.7,98.4,0,0,0,21.00,21.00,,
79,Josh Cribbs*+\CribJo01,CLE,26,WR,16,12,,1,4,25,18,0,0,1,25,1,18,4.5,-6.8,18.0,1.1,6.2,,0,0,0,4.50,-6.75,,
80,Charlie Batch\BatcCh00,PIT,35,,1,0,,1,2,50,17,0,0,0,0,1,17,8.5,8.5,17.0,17.0,79.2,97.8,0,0,0,8.50,8.50,,
81,Brian St. Pierre\St.PBr20,ARI,30,,1,0,,2,4,50,12,1,25,1,25,2,9,3.0,-3.3,6.0,12.0,56.2,5.0,0,0,0,3.00,-3.25,,
82,Caleb Hanie\HaniCa00,CHI,24,,2,0,,3,7,42.9,11,0,0,1,14.3,0,5,1.6,-4.9,3.7,5.5,10.7,75.4,0,0,0,1.57,-4.86,,
83,Phil Dawson\dawsophi01,CLE,34,,11,0,,1,1,100,10,0,0,0,0,1,10,10.0,10.0,10.0,0.9,108.3,100.0,0,0,0,10.00,10.00,,
84,Mewelde Moore\MoorMe00,PIT,27,,16,0,,1,1,100,6,1,100,0,0,1,6,6.0,26.0,6.0,0.4,131.2,100.0,0,0,0,6.00,26.00,,
85,Matt Gutierrez\GutiMa00,KAN,25,,1,0,,1,1,100,3,0,0,0,0,0,3,3.0,3.0,3.0,3.0,79.2,92.4,0,0,0,3.00,3.00,,
86,Josh McCown\McCoJo01,CAR,30,,1,0,,1,6,16.7,2,0,0,0,0,0,2,0.3,0.3,2.0,2.0,39.6,2.4,1,6,14.3,-0.57,-0.57,,
87,Luke McCown\McCoLu00,JAX,28,,3,0,,1,3,33.3,2,0,0,0,0,0,2,0.7,0.7,2.0,0.7,42.4,3.7,2,7,40,-1.00,-1.00,,
88,Chris Brown\BrowCh03,HOU,28,,14,4,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0,0.00,-45.00,,
89,Michael Bush\BushMi00,OAK,25,RB,16,7,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.2,0,0,0,0.00,0.00,,
90,Tim Castille\CastTi20,KAN,25,,7,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0,0.00,-45.00,,
91,Mark Clayton\ClayMa01,BAL,27,WR,14,12,,1,1,100,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79.2,23.5,0,0,0,0.00,0.00,,
92,Michael Clayton\ClayMi00,TAM,27,WR,13,11,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,11.0,0,0,0,0.00,0.00,,
93,Braylon Edwards\EdwaBr00,2TM,26,,16,15,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
94,Santonio Holmes\HolmSa00,PIT,25,WR,16,16,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0,0.00,-45.00,,
95,Chris Johnson*+\JohnCh04,TEN,24,RB,16,16,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.3,0,0,0,0.00,0.00,,
96,Dirk Johnson\JohnDi20,TAM,34,,11,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0,0.00,0.00,,
97,J.P. Losman\LosmJ.00,OAK,28,,1,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,3.9,0,0,0,0.00,0.00,,
98,Brad Maynard\MaynBr20,CHI,35,,16,0,,1,1,100,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79.2,0.4,0,0,0,0.00,0.00,,
99,Clinton Portis\PortCl00,WAS,28,RB,8,8,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0,0.00,0.00,,
100,Ray Rice*\RiceRa00,BAL,22,RB,16,15,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.1,0,0,0,0.00,0.00,,
101,Sidney Rice*\RiceSi01,MIN,23,WR,16,14,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,3.4,0,0,0,0.00,0.00,,
102,Micheal Spurlock\SpurMi00,2TM,26,,6,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
103,LaDainian Tomlinson\TomlLa00,SDG,30,RB,14,14,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,37.9,0,0,0,0.00,0.00,,
104,Reggie Wayne*\WaynRe00,IND,31,WR,16,16,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0,0.00,-45.00,,
105,Steve Weatherford\WeatSt20,NYJ,27,,16,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,5.1,0,0,0,0.00,-45.00,,
106,Brian Westbrook\WestBr00,PHI,30,RB,8,7,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,66.6,0,0,0,0.00,0.00,,
107,Pat White\WhitPa01,MIA,23,,13,0,,0,5,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,12.7,1,9,16.7,-1.50,-1.50,,
108,Ricky Williams\WillRi00,MIA,32,rb,16,7,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,12.4,0,0,0,0.00,-45.00,,
