Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Tom Brady*+\BradTo00,NWE,30,QB,16,16,16-0-0,398,578,68.9,4806,50,8.7,8,1.4,240,69,8.3,9.4,12.1,300.4,117.2,87.0,21,128,3.5,7.81,8.88,4,4
2,Drew Brees\BreeDr00,NOR,28,QB,16,16,7-9-0,440,652,67.5,4423,28,4.3,18,2.8,233,58,6.8,6.4,10.1,276.4,89.4,64.6,16,109,2.4,6.46,6.08,1,1
3,Tony Romo*\RomoTo00,DAL,27,QB,16,16,13-3-0,335,520,64.4,4211,36,6.9,19,3.7,216,59,8.1,7.8,12.6,263.2,97.4,76.9,24,176,4.4,7.42,7.17,2,2
4,Brett Favre*\FavrBr00,GNB,38,QB,16,16,13-3-0,356,535,66.5,4155,28,5.2,15,2.8,198,82,7.8,7.6,11.7,259.7,95.7,70.8,15,93,2.7,7.39,7.18,2,4
5,Carson Palmer\PalmCa00,CIN,28,QB,16,16,7-9-0,373,575,64.9,4131,26,4.5,20,3.5,213,70,7.2,6.5,11.1,258.2,86.7,62.5,17,119,2.9,6.78,6.14,2,2
6,Jon Kitna\KitnJo00,DET,35,QB,16,16,7-9-0,355,561,63.3,4068,18,3.2,20,3.6,198,91,7.3,6.3,11.5,254.3,80.9,49.0,51,320,8.3,6.12,5.24,2,3
7,Peyton Manning*\MannPe00,IND,31,QB,16,16,13-3-0,337,515,65.4,4040,31,6,14,2.7,207,73,7.8,7.8,12.0,252.5,98.0,76.9,21,124,3.9,7.31,7.29,1,2
8,Matt Hasselbeck*\HassMa00,SEA,32,QB,16,16,10-6-0,352,562,62.6,3966,28,5,12,2.1,204,65,7.1,7.1,11.3,247.9,91.4,54.4,33,204,5.5,6.32,6.36,2,2
9,Derek Anderson*\AndeDe00,CLE,24,QB,16,15,10-5-0,298,527,56.5,3787,29,5.5,19,3.6,185,78,7.2,6.7,12.7,236.7,82.5,62.6,14,109,2.6,6.80,6.29,2,2
10,Jay Cutler\CutlJa00,DEN,24,QB,16,16,7-9-0,297,467,63.6,3497,20,4.3,14,3,174,68,7.5,7.0,11.8,218.6,88.1,64.3,27,153,5.5,6.77,6.30,2,3
