Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
63,Drew Henson\HensDr00,DAL,24,,7,1,1-0-0,10,18,55.6,78,1,5.6,1,5.6,7,16,4.3,2.9,7.8,11.1,61.8,2,26,10,2.60,1.35,,
64,Mike McMahon\McMaMi00,DET,25,,1,0,,11,15,73.3,77,0,0,1,6.7,4,19,5.1,2.1,7.0,77.0,56.8,1,12,6.3,4.06,1.25,,
65,Doug Johnson\JohnDo00,TEN,27,,2,0,,6,12,50,68,0,0,0,0,2,33,5.7,5.7,11.3,34.0,67.4,1,6,7.7,4.77,4.77,,
66,Brooks Bollinger\BollBr00,NYJ,25,,1,0,,5,9,55.6,60,0,0,0,0,2,26,6.7,6.7,12.0,60.0,76.2,1,8,10,5.20,5.20,,
67,Cody Pickett\PickCo00,SFO,24,,1,0,,4,10,40,55,0,0,2,20,4,18,5.5,-3.5,13.8,55.0,18.7,2,14,16.7,3.42,-4.08,,
68,Rohan Davey\DaveRo01,NWE,26,,4,0,,4,10,40,54,0,0,0,0,4,20,5.4,5.4,13.5,13.5,57.9,0,0,0,5.40,5.40,,
69,Marty Booker\BookMa00,MIA,28,WR,15,15,,1,1,100,48,0,0,0,0,1,48,48.0,48.0,48.0,3.2,118.7,0,0,0,48.00,48.00,,
70,Shane Matthews\MattSh00,BUF,34,,3,0,,2,3,66.7,44,1,33.3,0,0,2,33,14.7,21.3,22.0,14.7,149.3,0,0,0,14.67,21.33,,
71,Todd Collins\CollTo00,KAN,33,,2,0,,1,5,20,42,0,0,0,0,1,42,8.4,8.4,42.0,21.0,62.1,0,0,0,8.40,8.40,,
72,LaDainian Tomlinson*+\TomlLa00,SDG,25,RB,15,15,,1,2,50,38,0,0,0,0,1,38,19.0,19.0,38.0,2.5,95.8,1,1,33.3,12.33,12.33,,
73,Randy Moss\MossRa00,MIN,27,WR,13,13,,1,2,50,37,0,0,1,50,1,37,18.5,-4.0,37.0,2.8,56.2,0,0,0,18.50,-4.00,,
74,Philip Rivers\RivePh00,SDG,23,,2,0,,5,8,62.5,33,1,12.5,0,0,3,13,4.1,6.6,6.6,16.5,110.9,0,0,0,4.13,6.63,,
75,J.P. Losman\LosmJ.00,BUF,23,,4,0,,3,5,60,32,0,0,1,20,2,17,6.4,-2.6,10.7,8.0,39.2,1,0,16.7,5.33,-2.17,,
76,Richie Anderson\AndeRi00,DAL,33,,12,4,,1,1,100,26,1,100,0,0,1,26,26.0,46.0,26.0,2.2,158.3,0,0,0,26.00,46.00,,
77,Drew Bennett\BennDr00,TEN,26,WR,16,16,,1,1,100,26,1,100,0,0,1,26,26.0,46.0,26.0,1.6,158.3,0,0,0,26.00,46.00,,
78,Peerless Price\PricPe00,ATL,28,WR,16,15,,1,1,100,25,0,0,0,0,1,25,25.0,25.0,25.0,1.6,118.7,0,0,0,25.00,25.00,,
79,Chris Mohr\MohrCh20,ATL,38,,16,0,,2,3,66.7,24,0,0,0,0,1,26,8.0,8.0,12.0,1.5,91.0,0,0,0,8.00,8.00,,
80,Brian Moorman\MoorBr24,BUF,28,,16,0,,1,3,33.3,24,0,0,0,0,1,24,8.0,8.0,24.0,1.5,63.2,0,0,0,8.00,8.00,,
81,Emmitt Smith\SmitEm00,ARI,35,RB,15,15,,1,1,100,21,1,100,0,0,1,21,21.0,41.0,21.0,1.4,158.3,0,0,0,21.00,41.00,,
82,Ahman Green*\GreeAh00,GNB,27,RB,15,15,,1,1,100,20,1,100,0,0,1,20,20.0,40.0,20.0,1.3,158.3,0,0,0,20.00,40.00,,
83,Tony Banks\BankTo00,HOU,31,,5,0,,1,2,50,16,0,0,0,0,1,16,8.0,8.0,16.0,3.2,77.1,0,0,0,8.00,8.00,,
84,Clinton Portis\PortCl00,WAS,23,RB,15,15,,1,2,50,15,1,50,0,0,1,15,7.5,17.5,15.0,1.0,114.6,0,0,0,7.50,17.50,,
85,Jerome Bettis*\BettJe00,PIT,32,RB,15,6,,1,1,100,10,1,100,0,0,1,10,10.0,30.0,10.0,0.7,147.9,0,0,0,10.00,30.00,,
86,Craig Hentrich\hentrcra01,TEN,33,,16,0,,2,4,50,10,0,0,0,0,1,6,2.5,2.5,5.0,0.6,56.2,0,0,0,2.50,2.50,,
87,Antwaan Randle El\RandAn00,PIT,25,wr,16,7,,1,1,100,10,1,100,0,0,1,10,10.0,30.0,10.0,0.6,147.9,0,0,0,10.00,30.00,,
88,Tony Fisher\FishTo00,GNB,25,,16,0,,1,1,100,8,1,100,0,0,1,8,8.0,28.0,8.0,0.5,139.6,0,0,0,8.00,28.00,,
89,Adam Vinatieri*+\vinatada01,NWE,32,,16,0,,1,1,100,4,1,100,0,0,1,4,4.0,24.0,4.0,0.3,122.9,0,0,0,4.00,24.00,,
90,Rodney Peete\PeetRo00,CAR,38,,1,0,,1,1,100,3,0,0,0,0,0,3,3.0,3.0,3.0,3.0,79.2,0,0,0,3.00,3.00,,
91,Mike Bartrum\BartMi00,PHI,34,,16,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
92,Isaac Bruce\BrucIs00,STL,32,WR,16,16,,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
93,Patrick Crayton\CrayPa00,DAL,25,,8,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,,
94,Ronald Curry\CurrRo01,OAK,25,,12,3,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
95,Adimchinobe Echemandu\EcheAd00,CLE,24,,4,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
96,Paul Edinger\edingpau01,CHI,26,,16,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,,
97,Jeff Feagles\FeagJe20,NYG,38,,16,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
98,Gus Frerotte\FrerGu00,MIN,33,,16,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
99,Jabar Gaffney\GaffJa00,HOU,24,WR,16,12,,0,3,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
100,Rod Gardner\GardRo00,WAS,27,WR,16,14,,0,3,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
